Name,Nick Name,Status,Definition,Acronym,Resources,Related Terms,Synonyms,Stewards,Experts,Parent Term Name,IsDefinitionRichText,Term Template Names
Adjusted meeting hours,Adjusted meeting hours,Draft,"An adjustment is applied so that overlapping time is not double-counted when a person has overlapping meeting hours. For example, a person with non-declined meeting requests from 2:00 to 3:00 PM and 2:30 to 3:30 PM would yield 1.5 adjusted meeting hours.",AMH,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Aggregation,Aggregation,Approved,"Aggregation means compiling data from multiple individuals or sources. The more individuals or sources whose data is used, the more difficult it is to identify personal data. Aggregation is one means of achieving de-identification.",,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Attended,Attended,Expired,"A person attended a meeting if they did not decline the meeting request. This means that they either accepted the meeting request, accepted it as tentative, or did not respond to it. (This meeting request itself is subsequently referred to as a non-declined meeting request.)",,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Attendee,Attendee,Alert,A person who was invited and attended the meeting.,,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Attributes,Attributes,Draft,"A defined characteristic about the person, such as team, department, or function. Required attributes are the subset of attributes that are required in order to calculate metrics.",,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Calendar fragmentation,Calendar fragmentation,Approved,"When a person does not have blocks of time sufficient to focus on completing complex tasks. This is typical of those with only small blocks of time (15, 30, or 60 minutes) between meetings. Anything that is not focus time (uninterrupted time blocks of two hours or more with no meetings) is considered calendar fragmentation.",CF,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Call,Call,Expired,"A scheduled or unscheduled audio or video communication between two or more people over Microsoft Teams. If the call is scheduled, it appears on a person's Outlook calendar as a meeting appointment. A user's call duration is based on their join time and their leave time for the call.",,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Collaborators,Collaborators,Alert,"Anyone that measured employees or time investors interact with by email or instant message, in meetings, in unscheduled calls, or with instant messages. Collaborators are identified as internal (within the company) or external (outside of the company) and discovered through the data extracted for measured employees. Internal collaborators have domains internal to your organization, while external collaborators have domains external to your organization.",,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Collaborator group,Collaborator group,Draft,"A group of collaborators that are identified as internal (within the company) or external (outside of the company) that interacts by email, in meetings, in calls, or with instant messages with a specified time investor.",CG,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Common network,Common network,Approved,"A relationship that is based on an overlap between the collaboration networks of two or more people. For example, Megan and Vinod each has their own set of people with whom they work and meet. These sets of people overlap, which creates an indirect bonding or relationship — a common network — between Megan and Vinod.",CN,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Conflicting meeting,Conflicting meeting,Expired,A meeting on a person's calendar that overlaps with another meeting on that person's calendar.,CM,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Connected people,Connected people,Alert,Those who have had more than five connections with external people within the same month.,CP,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Connected groups,Connected groups,Draft,Those who spend a large proportion of their overall collaboration with people outside the company.,CG,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Connection,Connection,Approved,Two or more meaningful interactions.,,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Coverage,Coverage,Expired,"The percentage of measured employees who have a non-blank value for the specified attribute as shown in Data sources. If coverage levels are low, it'll be difficult to determine how people collaborate across different characteristics. Additionally, low coverage on required attributes may give skewed (under reported) metric calculations for metrics that rely on those attributes.",,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Custom attribute,Custom attribute,Alert,"Organizational data attributes that describe the people being analyzed. If supplied by the company, these attributes can be used in grouping of data, and to filter reports and customize metrics. However, they are not reserved for metrics calculations.",CA,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Decision-making meeting,Decision-making meeting,Draft,A meeting that has between two and eight attendees and lasts less than one hour.,DMM,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
De-identification,De-identification,Approved,A process that is used to prevent the connection of personal identifiers with information.,,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Focus time,Focus time,Expired,Uninterrupted time blocks of two hours or more with no meetings.,FT,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Fragmented hours,Fragmented hours,Alert,A person's time after you subtract their meeting hours and their focus hours.,FH,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Hashing,Hashing,Draft,"Hashing is a cryptographic process that converts a piece of data into another in a way that is easy to compute, extremely difficult to reverse, and highly unlikely that two different pieces of data have the same hash. For example, meeting subject lines that are hashed would appear not in their original, readable, form but as a meaningless number.",,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Insularity,Insularity,Approved,"When collaboration happens only with people from within a person’s team, function, department, and so on.",,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Invitee,Invitee,Expired,A person who is invited to a meeting with a meeting request.,,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Large meeting,Large meeting,Alert,A large meeting involves more than eight people and lasts less than one hour. Also see Long and large meeting.,LM,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Layer,Layer,Draft,"The number of levels of reporting in a company, starting from CEO and going down. For example, the CEO equals level 0.",,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
